Simulation Run,Day,Agent Type,Satisfaction,Rejected Received Exchanges,Accepted Received Exchanges,Rejected Requested Exchanges,Accepted Requested Exchanges,Social Capital Exchanges,No Social Capital Exchanges,Unspent Social Capital
1,2,1,0.5,8,2,19,0,0,2,1
1,2,1,1.0,5,1,8,3,0,1,0
1,2,2,0.5,27,0,18,0,0,0,1
1,2,1,0.75,12,1,27,1,0,1,2
1,2,1,0.5,44,1,13,1,0,1,1
1,2,2,0.5,14,0,17,1,0,0,1
1,2,1,0.5,26,2,17,0,0,2,4
1,2,1,0.5,11,2,17,0,0,2,1
1,2,1,0.75,24,2,23,0,0,2,1
1,2,2,0.75,23,1,13,1,0,1,1
1,2,1,0.5,8,1,24,1,0,1,1
1,3,2,1.0,3,1,4,3,0,1,1
1,3,1,0.5,28,0,10,1,0,0,2
1,3,1,0.75,13,3,12,0,0,3,2
1,3,1,0.5,13,1,10,0,0,1,2
1,3,2,1.0,5,2,10,2,0,2,2
1,3,2,0.75,9,0,16,1,0,0,2
1,3,2,0.75,12,2,11,1,0,2,0
1,3,2,0.5,9,0,22,1,0,0,2
1,3,1,0.5,18,1,23,1,0,1,2
1,3,1,0.75,13,2,12,1,0,2,1
1,3,2,0.75,7,2,7,1,1,1,2
1,3,2,0.5,2,0,19,2,0,0,1
1,3,1,0.5,29,0,11,2,0,0,1
1,3,2,0.5,18,2,10,0,0,2,2
1,3,1,0.5,7,0,23,2,0,0,1
1,3,1,0.25,28,1,15,0,0,1,1
1,3,1,1.0,3,0,5,3,0,0,1
1,3,1,0.75,13,0,12,3,0,0,1
1,3,2,0.75,5,1,24,2,0,1,2
1,3,2,1.0,2,1,3,2,0,1,2
1,3,2,0.75,29,3,12,1,1,2,2
1,3,2,0.5,15,1,20,0,0,1,2
1,3,1,1.0,8,1,6,1,0,1,1
1,3,1,1.0,8,0,3,3,0,0,0
1,3,1,0.5,20,1,17,0,0,1,2
1,3,2,0.75,8,1,20,1,0,1,2
1,3,1,0.5,10,0,18,2,0,0,0
1,3,2,0.5,5,0,16,1,0,0,0
1,3,1,0.75,24,1,11,1,0,1,1
1,3,1,1.0,3,1,9,1,0,1,0
1,3,2,1.0,4,1,8,1,0,1,2
1,3,1,0.5,8,0,16,1,0,0,0
1,3,2,0.5,11,0,12,1,0,0,0
1,3,2,0.75,9,1,14,1,0,1,0
1,3,1,0.75,18,0,21,2,0,0,1
1,3,2,0.25,11,0,18,0,0,0,3
1,3,2,0.5,24,2,10,1,1,1,0
1,3,1,0.75,12,2,14,1,0,2,1
1,3,2,0.5,10,2,18,1,2,0,3
1,3,1,0.75,14,2,11,1,0,2,1
1,3,1,1.0,8,3,9,1,0,3,2
1,3,2,0.75,4,1,13,2,0,1,0
1,3,1,0.5,18,1,11,1,0,1,1
1,3,1,0.5,18,1,18,0,0,1,1
1,3,2,0.75,17,0,7,1,0,0,2
1,3,2,0.5,28,2,16,1,1,1,3
1,3,1,0.5,14,1,21,1,0,1,4
1,3,2,1.0,16,2,7,2,0,2,2
1,3,1,0.5,18,1,13,0,0,1,2
1,3,1,1.0,6,3,2,1,0,3,3
1,3,2,1.0,3,0,2,3,0,0,0
1,3,2,1.0,1,1,1,3,0,1,2
1,3,2,0.75,19,1,19,0,0,1,2
1,3,2,0.5,12,1,13,1,0,1,3
1,3,2,0.75,25,0,12,2,0,0,2
1,3,2,1.0,4,2,8,2,0,2,2
1,3,2,0.5,6,1,20,1,0,1,2
1,3,1,0.75,10,2,18,1,0,2,1
1,3,1,1.0,9,2,2,2,0,2,1
1,3,1,0.5,10,1,13,0,0,1,2
1,3,1,0.5,23,2,12,0,0,2,3
1,3,2,0.75,8,1,8,1,0,1,1
1,3,1,0.5,7,2,11,0,0,2,1
1,3,2,0.5,9,1,17,1,0,1,1
1,3,2,0.75,21,0,13,1,0,0,0
1,3,1,0.75,10,2,18,0,0,2,1
1,3,1,0.75,11,1,24,2,0,1,0
1,3,2,1.0,2,1,10,2,1,0,2
1,3,1,0.25,20,1,20,0,0,1,2
1,3,1,0.75,6,0,21,2,0,0,0
1,3,1,0.25,22,1,19,0,0,1,1
1,3,2,0.5,5,1,23,0,0,1,2
1,3,2,0.5,16,1,14,1,0,1,2
1,3,1,0.5,5,1,18,1,0,1,0
1,3,2,0.5,14,1,11,0,0,1,1
1,3,2,0.5,17,1,19,1,0,1,1
1,3,2,1.0,13,3,11,1,1,2,1
1,3,1,0.25,21,0,15,1,0,0,1
1,3,1,0.75,19,1,10,1,0,1,4
1,3,1,0.75,13,2,17,1,0,2,3
1,3,2,0.25,11,2,16,0,1,1,1
1,3,2,1.0,21,2,4,2,0,2,2
1,3,1,0.0,15,0,15,0,0,0,2
1,3,1,0.75,12,0,4,2,0,0,1
1,3,1,0.5,22,2,14,0,0,2,2
1,3,2,0.5,34,2,9,0,0,2,1
1,3,1,0.75,6,1,7,2,0,1,0
1,3,2,1.0,5,2,5,1,0,2,1
1,3,1,0.75,16,2,16,1,0,2,1
1,3,1,0.5,22,0,11,1,0,0,3
1,3,2,0.5,15,2,23,1,1,1,3
1,3,1,0.75,25,2,11,1,0,2,1
1,3,2,0.25,25,0,8,1,0,0,1
