Simulation Run,Day,Round,Agent Type,Satisfaction
2,190,34,2,0.8020833333333334
2,190,35,1,0.0
2,190,35,2,0.8020833333333334
2,190,36,1,0.0
2,190,36,2,0.8020833333333334
2,190,37,1,0.0
2,190,37,2,0.8046875
2,190,38,1,0.0
2,190,38,2,0.8098958333333334
2,190,39,1,0.0
2,190,39,2,0.8098958333333334
2,190,40,1,0.0
2,190,40,2,0.8098958333333334
2,190,41,1,0.0
2,190,41,2,0.8098958333333334
2,190,42,1,0.0
2,190,42,2,0.8125
2,190,43,1,0.0
2,190,43,2,0.8125
2,190,44,1,0.0
2,190,44,2,0.8125
2,190,45,1,0.0
2,190,45,2,0.8125
2,190,46,1,0.0
2,190,46,2,0.8125
2,190,47,1,0.0
2,190,47,2,0.8125
2,190,48,1,0.0
2,190,48,2,0.8125
2,190,49,1,0.0
2,190,49,2,0.8125
2,190,50,1,0.0
2,190,50,2,0.8125
2,190,51,1,0.0
2,190,51,2,0.8151041666666666
2,190,52,1,0.0
2,190,52,2,0.8151041666666666
2,190,53,1,0.0
2,190,53,2,0.8151041666666666
2,190,54,1,0.0
2,190,54,2,0.8151041666666666
2,190,55,1,0.0
2,190,55,2,0.8151041666666666
2,190,56,1,0.0
2,190,56,2,0.8151041666666666
2,190,57,1,0.0
2,190,57,2,0.8151041666666666
2,190,58,1,0.0
2,190,58,2,0.8151041666666666
2,190,59,1,0.0
2,190,59,2,0.8151041666666666
2,190,60,1,0.0
2,190,60,2,0.8151041666666666
2,190,61,1,0.0
2,190,61,2,0.8151041666666666
2,191,0,1,0.0
2,191,0,2,0.20833333333333334
2,191,1,1,0.0
2,191,1,2,0.24479166666666666
2,191,2,1,0.0
2,191,2,2,0.28125
2,191,3,1,0.0
2,191,3,2,0.328125
2,191,4,1,0.0
2,191,4,2,0.3723958333333333
2,191,5,1,0.0
2,191,5,2,0.4375
2,191,6,1,0.0
2,191,6,2,0.4765625
2,191,7,1,0.0
2,191,7,2,0.5078125
2,191,8,1,0.0
2,191,8,2,0.5364583333333334
2,191,9,1,0.0
2,191,9,2,0.5651041666666666
2,191,10,1,0.0
2,191,10,2,0.5989583333333334
2,191,11,1,0.0
2,191,11,2,0.6328125
2,191,12,1,0.0
2,191,12,2,0.6536458333333334
2,191,13,1,0.0
2,191,13,2,0.6822916666666666
2,191,14,1,0.0
2,191,14,2,0.6927083333333334
2,191,15,1,0.0
2,191,15,2,0.7057291666666666
2,191,16,1,0.0
2,191,16,2,0.7239583333333334
2,191,17,1,0.0
2,191,17,2,0.7395833333333334
2,191,18,1,0.0
2,191,18,2,0.75
2,191,19,1,0.0
2,191,19,2,0.7630208333333334
2,191,20,1,0.0
2,191,20,2,0.7708333333333334
2,191,21,1,0.0
2,191,21,2,0.7838541666666666
2,191,22,1,0.0
2,191,22,2,0.7890625
2,191,23,1,0.0
2,191,23,2,0.7994791666666666
2,191,24,1,0.0
2,191,24,2,0.7994791666666666
2,191,25,1,0.0
2,191,25,2,0.8020833333333334
2,191,26,1,0.0
2,191,26,2,0.8020833333333334
2,191,27,1,0.0
2,191,27,2,0.8072916666666666
2,191,28,1,0.0
2,191,28,2,0.8072916666666666
2,191,29,1,0.0
2,191,29,2,0.8098958333333334
2,191,30,1,0.0
